Recipe Name,URL,appetizers & sides,beef,bread,breakfast & brunch,chicken,comfort food,dessert,fish & seafood,holiday dishes,lighter meals,Mexican,pasta,pizza,sandwiches,salads,soups & stews,sauces,weeknight meals,pork,vegetarian,burgers,Asian,BBQ & grilling,quick & easy,slow cooker,eggs,tacos,meal prep,dips & spreads
Beef Stroganoff,/recipes/beef-stroganoff,,X,,,,,X,,,,,,X,,,,,,,,,,,,,,,,
15 Minute Carbonara,/recipes/15-minute-carbonara,,,,,,,,,,,,X,,,,,,,,X,,,,,X,,,,
Pan Roasted Chicken,/recipes/pan-roasted-chicken,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,
Eggs Benedict with Quicker Homemade Hollandaise,/recipes/eggs-benedict,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,
Classic Garlic Bread & Garlic Knots,/recipes/garlic-bread-2-ways,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meatball Sub,/recipes/meatball-sub,,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,
Quick & Easy Indian Dinner,/recipes/quick-indian-dinner,,,,,X,,,,,,,,,,,,,X,,,,X,,X,,,,,
3 Ways To Make Brussel Sprouts Taste Amazing,/recipes/brussel-sprouts-3-ways,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Banana Bread 2 Ways: Classic and "Everything",/recipes/banana-bread-2-ways,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,
Cioppino,/recipes/cioppino,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,
1 Hour Pan Pizza,/recipes/1-hour-pan-pizza,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
Cheesy Bread 2 Ways,/recipes/cheesy-bread-2-ways,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Gnocchi,/recipes/roman-gnocchi,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
Entree Salads: Buffalo Chicken Summer & Thai Shrimp Peanut,/recipes/big-ass-salads-3,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,
30 Minute Pad Woon Sen (Thai Stir Fry Noodles),/recipes/30-minute-thai-stir-fry-noodles,,,,,,,,,,,,,,,,,,X,,,,X,,X,,,,,
PBJ From Scratch,/recipes/pbj-from-scratch,,,X,X,,,,,,,,,,,X,,,,,,,,,,,,,,
Thick Burger 3 Ways: Classic Buffalo & French Onion,/recipes/thick-burger-3-ways,,X,,,,,X,,,,,,,X,,,,,,,X,,,,,,,
Super Fudgy Brownies 3 Ways,/recipes/fudgy-brownies-3-ways,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Lobster Rolls,/recipes/lobster-rolls,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,
Smoked Beef (Easier Than Brisket),/recipes/smoked-beef-easier-than-brisket,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
Summer Tomato Tartine,/recipes/tomato-tartine,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,
30 Minute Gyro Taco,/recipes/30-minute-gyro-taco,,X,,,,,,,,,,,,,,,,,,,,,,X,,,X,,
The Perfect Squishy Burger Bun,/recipes/perfect-burger-bun,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,
Ultimate BBQ Sides,/recipes/ultimate-bbq-sides,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Buffalo Cauliflower "Wings",/recipes/buffalo-cauliflower-wings,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,
The Party Sub,/recipes/the-party-sub,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
2 Recipes For Perfectly Grilled Chicken,/recipes/perfectly-grilled-chicken,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,
Weeknight Steak Fajitas,/recipes/weeknight-steak-fajitas,,X,,,,,,,,,,X,,,,,,,X,,,,,,,,,,
3 Potato Salad Recipes (Classic German and Loaded Baker),/recipes/potato-salad-3-ways,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
Glazed Donuts,/recipes/glazed-donuts,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,
Shredded Beef Enchiladas,/recipes/shredded-beef-enchiladas,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,
The Crispiest Potatoes Without a Fryer,/recipes/the-crispiest-potatoes-without-a-fryer,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banh Mi with Crispy Baguette,/recipes/bahn-mi-with-crispy-baguette,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,
Creamy New York Cheesecake,/recipes/creamy-new-york-cheesecake,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Onion Rings 2 Ways,/recipes/onion-rings-2-ways,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma Onion Burger,/recipes/oklahoma-onion-burger,,X,,,,,X,,,,,,,X,,,,,,,X,,,,,,,
New Jersey Style Pizza,/recipes/88wfy8gi05pujqmf9chf7rbb43icoj,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
Beet & Goat Cheese Salad,/recipes/beet-goat-cheese-salad,,,,,,,,,,X,,,,,X,,,,,X,,,,,,,,
Teriyaki Salmon Dinner,/recipes/teriyaki-salmon,,,,,,,,,X,,,,,,,,,,X,,,,X,,,,,
Mozzarella Sticks 2 Ways: Classic & Risotto Balls,/recipes/mozzarella-sticks-2-ways,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco Pizza,/recipes/taco-pizza,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,
Vegetarian Chili,/recipes/veggie-chili,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,
Fettucini Alfredo with Homemade Pappardelle,/recipes/fettuccine-alfredo,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Buffalo Chicken Sandwich with Blue Cheese Sauce,/recipes/buffalo-chicken-sandwich,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,
Spaghetti and Meatballs,/recipes/spaghetti-and-meatballs,,X,,,,,X,,,,,X,,,,,,,,,,,,,,,,
Chicken Al Pastor Tacos,/recipes/chicken-al-pastor-tacos,,,,,X,,,,,,X,,,,,,,,,,,,,,,,X,,
White Pizza (New York Style Mushroom Kale & Pesto Mortadella),/recipes/white-pizza,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,
Quick Mac & Cheese (Gooey American & Creamy Italian),/recipes/quick-mac-and-cheese,,,,,,,X,,,,,X,,,,,,,,,,,,X,,,,,
Cheese Danish,/recipes/cheese-danish,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,
Risotto (Rice) Pudding,/recipes/risotto-rice-pudding,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Spaghetti Chow Mein,/recipes/spaghetti-chow-mein,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,
Easy Beer Battered Fish Sandwich,/recipes/easy-beer-battered-fish-sandwich,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,
Big Ass Salads (Pt 2!),/recipes/big-ass-salads-pt-2,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
Beginner Baguette,/recipes/beginner-baguette,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Minute Khao Soi,/recipes/30-minute-khao-soi,,,,,,,,,,,,,,,,,X,,,,,X,,X,,,,,
Stuffed Crust Pizza,/recipes/stuffed-crust-pizza,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
Easy Flourless Chocolate Cake,/recipes/easy-flourless-chocolate-cake,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Shrimp Etouffee,/recipes/shrimp-etouffee,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,
Meatloaf,/recipes/meatloaf,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Essential Hot Cheese Dips,/recipes/essential-hot-cheese-dips,X,,,,,,,,,,,,,,,,,,,,,,,,,,X
Rueben with Marble Rye,/recipes/rueben-with-marble-rye,,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,
Classic Chicago Italian Beef,/recipes/chicago-italian-beef,,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,
Spinach Artichoke Dip,/recipes/spinach-artichoke-dip,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,X
Real Soft Pretzels at Home,/recipes/real-soft-pretzels-at-home,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Absolute Best Chocolate Chip Cookies,/recipes/the-absolute-best-chocolate-chip-cookies,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Detroit Style Pizza,/recipes/detroit-style-pizza,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
Giant Cinnamon Rolls,/recipes/giant-cinnamon-rolls,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,
Smash Burgers,/recipes/smash-burgers,,X,,,,,X,,,,,,,X,,,,,,,X,,,,,,,
